@relation 'Real-Time Air Quality Prediction System-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute City=Delhi numeric
@attribute City=Mumbai numeric
@attribute City=Kolkata numeric
@attribute City=Chennai numeric
@attribute City=Bengaluru numeric
@attribute City=Beijing numeric
@attribute City=Shanghai numeric
@attribute City=Guangzhou numeric
@attribute City=Los_Angeles numeric
@attribute City=New_York numeric
@attribute City=London numeric
@attribute City=Paris numeric
@attribute City=Tokyo numeric
@attribute City=Seoul numeric
@attribute City=Singapore numeric
@attribute City=Sydney numeric
@attribute City=Dubai numeric
@attribute City=Mexico_City numeric
@attribute City=Johannesburg numeric
@attribute City=Cairo numeric
@attribute PM2_5 numeric
@attribute PM10 numeric
@attribute NO2 numeric
@attribute SO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute Temperature_C numeric
@attribute Humidity_percent numeric
@attribute Wind_Speed_mps numeric
@attribute Atmospheric_Pressure_hPa numeric
@attribute Air_Quality_Level {Good,Moderate,Unhealthy,Very_Unhealthy,Hazardous}

@data
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.34,122.95,34.14,6.53,0.83,52.63,31.92,64.24,4.23,1006.34,Moderate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.90,181.73,34.65,10.88,1.30,57.51,23.73,36.70,3.37,1008.97,Very_Unhealthy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.40,52.11,20.67,2.70,0.71,60.19,21.27,45.19,4.48,1013.03,Good
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68.37,83.58,33.25,5.08,0.60,53.57,27.85,71.37,2.51,1006.19,Moderate
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.86,98.79,38.34,9.69,0.47,54.59,25.04,64.58,3.09,1009.10,Moderate
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.93,83.82,23.99,7.95,0.66,40.51,21.23,50.43,3.85,1013.32,Good
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.04,117.23,21.13,7.72,1.36,39.71,33.91,47.04,4.46,1007.15,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76.10,110.25,33.68,9.71,1.64,57.85,17.98,45.99,3.03,1010.52,Unhealthy
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.41,208.94,46.06,8.60,1.40,46.86,24.34,67.37,2.21,1008.48,Very_Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.77,100.84,23.24,3.40,0.76,56.23,21.72,46.40,3.31,1019.58,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.68,101.20,44.78,5.62,0.89,53.72,9.08,54.14,3.20,1019.06,Moderate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.83,101.96,33.52,12.38,0.80,40.47,29.25,65.97,2.26,1007.26,Unhealthy
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.68,201.61,54.30,10.43,1.50,69.76,25.92,49.82,3.25,1004.92,Very_Unhealthy
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.12,195.64,27.58,7.36,1.46,59.88,31.63,67.77,1.46,1009.77,Unhealthy
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.43,197.32,42.84,8.62,1.60,55.45,22.97,64.27,2.04,1014.70,Unhealthy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.86,157.94,30.53,7.49,0.73,53.27,28.81,72.73,2.82,1010.48,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.44,134.71,44.32,8.25,0.64,44.33,38.21,38.21,4.37,1005.20,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.84,149.70,27.32,11.71,1.16,44.08,32.43,38.08,2.19,1008.31,Moderate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.28,260.16,55.11,14.17,2.16,52.23,23.66,52.12,2.61,1011.35,Very_Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93.10,195.21,45.97,10.30,1.29,77.37,18.07,48.11,1.91,1014.06,Unhealthy
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62.59,173.73,30.32,10.06,1.73,63.76,15.31,49.28,3.24,1012.49,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.55,136.97,47.86,10.27,0.59,72.79,18.35,56.82,1.67,1009.93,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.39,75.99,27.99,5.05,0.60,76.22,13.01,34.91,3.33,1024.81,Moderate
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.77,110.32,39.60,7.58,1.13,66.00,23.68,69.52,0.20,1006.47,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.03,92.65,9.42,3.12,0.54,59.53,24.41,84.31,2.41,1003.29,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.39,83.00,22.42,4.23,0.73,58.30,20.97,35.10,4.81,1015.58,Moderate
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.56,68.62,16.26,4.58,0.45,60.29,24.12,52.86,2.45,1015.10,Moderate
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.75,210.59,40.03,10.88,1.82,59.88,25.95,48.94,3.22,1008.83,Very_Unhealthy
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.57,175.65,56.59,15.65,1.94,70.44,15.05,40.46,2.25,1016.36,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.16,111.90,25.09,10.18,0.50,44.29,14.90,51.33,3.10,1020.44,Moderate
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.23,51.52,17.94,4.95,0.36,43.40,13.20,68.30,2.55,1015.93,Good
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.94,59.86,17.17,5.46,0.17,53.74,20.20,48.29,3.25,1016.93,Moderate
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.83,103.12,19.28,5.96,0.83,44.58,21.93,64.15,4.43,1009.59,Moderate
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.03,175.98,47.34,11.03,1.64,48.82,18.06,58.98,3.86,1014.80,Unhealthy
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.79,67.45,23.10,7.38,0.16,43.28,12.50,48.01,2.58,1018.26,Good
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.10,147.52,30.70,5.85,0.63,43.94,26.70,82.65,4.74,1005.98,Moderate
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.25,177.71,42.43,6.81,1.12,57.54,31.12,61.40,2.50,1004.62,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.44,85.29,29.27,1.75,0.14,76.92,21.83,49.01,4.04,1014.15,Moderate
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.81,151.21,35.53,6.50,1.19,51.16,36.42,60.28,4.35,1010.83,Moderate
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.80,14.22,18.38,4.44,0.85,60.39,23.07,48.96,1.54,1015.10,Good
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.61,13.65,19.47,1.00,0.60,62.73,16.65,55.89,2.05,1017.23,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.17,190.08,26.82,8.41,1.07,45.77,30.62,25.42,4.47,1009.04,Moderate
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.82,78.25,21.67,6.23,0.92,70.51,20.56,47.80,1.16,1008.51,Moderate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.24,144.52,37.96,8.62,2.19,60.71,28.68,62.36,2.21,1009.88,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.93,47.07,11.51,7.37,0.76,55.14,31.70,75.62,1.71,1009.05,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.55,146.19,29.75,6.23,1.48,86.58,16.50,54.50,1.78,1009.32,Moderate
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63,110.97,20.01,7.54,0.88,44.09,27.73,63.39,4.40,1007.66,Moderate
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.19,90.03,14.98,5.09,0.40,71.26,16.09,40.56,1.50,1013.14,Moderate
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.15,192.77,25.03,9.87,0.94,44.79,28.12,58.12,1.69,1011.78,Unhealthy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85.03,127.41,38.18,11.88,0.46,55.62,21.44,48.38,2.60,1007.91,Unhealthy
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.13,77.36,19.53,4.68,0.38,51.10,14.92,58.16,3.06,1016.81,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86.95,155.48,37.21,9.18,0.49,38.94,27.32,32.19,2.91,1014.27,Unhealthy
